OBJECTID,TYPE,LOCATION,STATUS,ST_ID,MATERIAL,MAP_MILES,WIDTH_FT,ST_TYPE,ST_TONAGE,TRAIL_NAME,OWNER,ADA,GWSTATUS,TRAILHEAD_,GlobalID,SHAPE_Leng
"1207",Trail,NCMA,Existing,NA,Asphalt,0.023446980000000,10.000000000000000,NA,0.000000000000000,Reedy Creek Trail,Other,NO,OPEN,"320",{F329092B-289C-487A-914A-23F4159E62F0},0.000391674579801
"1208",Trail,NCMA,Existing,NA,Asphalt,0.017534830000000,10.000000000000000,NA,0.000000000000000,Reedy Creek Trail,Other,NO,OPEN,"320",{17162659-77C3-4FDD-B2F5-3FB3FC98AD45},0.000255751319644
"1209",Trail,NCMA,Existing,NA,Asphalt,0.020068260000000,10.000000000000000,NA,0.000000000000000,Reedy Creek Trail,Other,NO,OPEN,"320",{D61080D6-647E-4AA1-8D03-48318C6EEA45},0.000351898540116
"1210",Trail,NCMA,Existing,NA,Asphalt,0.040527890000000,10.000000000000000,NA,0.000000000000000,Reedy Creek Trail,Other,NO,OPEN,"320",{AEE9142A-8680-4B7B-907E-BFEAAFB6D896},0.000705859331122
"1211",Crossing,NCMA,Existing,NA,Asphalt,0.007983780000000,10.000000000000000,NA,0.000000000000000,Reedy Creek Trail,Other,NO,OPEN,"320",{99598462-1EFD-4885-A58A-E359C38363A5},0.000141088479291
"1283",Trail,Walnut Creek Trail,Existing,"313",Unknown,0.204324160000000,10.000000000000000,Sidewalk,0.000000000000000,Walnut Creek Trail,COR,NO,OPEN,"367",{59597923-A98E-429F-A21D-F31C0D03AFE1},0.000866966535491
"1284",Crossing,Alleghany Segment,Existing,NA,Asphalt,0.008640762844502,5.000000000000000,NA,0.000000000000000,Crabtree Creek Trail,COR,NO,CLOSED_STORM,"27",{2D0D7614-43C5-4277-A4FD-BD926082F810},0.000153248705786
"1285",Trail,Alleghany Segment,Existing,NA,Concrete,0.071405034983381,5.000000000000000,Sidewalk,0.000000000000000,Crabtree Creek Trail,COR,NO,OPEN,"27",{CEB0CC97-4256-45E0-8D47-456EFBBF1147},0.001042609372094
"1286",Trail,Alleghany Segment,Existing,NA,Asphalt,0.005429149641594,10.000000000000000,NA,0.000000000000000,Crabtree Creek Trail,COR,NO,OPEN,"27",{91FD0890-F8FB-4D70-8DAB-529A37758F7A},0.000091988592210
"1289",Crossing,Walnut Creek Crossing,Existing,NA,Asphalt,0.007950371873654,10.000000000000000,NA,0.000000000000000,Walnut Creek Trail,COR,YES,OPEN,"367",{ADA1B617-6F63-48D1-8F36-4A7B5A5F754D},0.000140382878884
